ax,ay,az,gx,gy,gz,mx,my,mz,timestamp
-13.14,17.51,-1.32,2.18,-7.12,4.15,19.12,4.27,12.57,44104
-15.79,18.27,7.22,0.74,-7.21,2.42,24.33,1.24,6.75,44138
-8.92,8.71,-0.14,-0.80,-5.47,-0.63,25.43,-0.67,2.76,44172
-5.11,10.91,3.29,-0.75,-2.16,0.11,25.52,-2.28,-0.22,44207
-5.99,12.16,-0.95,-1.92,-0.84,-1.54,23.88,-3.70,-0.61,44241
-3.56,6.58,-17.60,-3.19,2.79,-2.23,20.18,-4.63,1.70,44275
4.76,9.69,-6.08,-1.69,0.91,-1.00,15.87,-5.10,1.86,44309
9.27,16.35,-3.70,-2.25,2.38,-0.68,11.31,-5.09,1.65,44343
5.84,8.49,-14.30,-2.69,4.34,-0.94,4.59,-4.59,2.08,44377
7.45,9.22,-21.11,-2.44,5.39,-0.00,-1.97,-2.79,-0.77,44412
7.16,5.89,-21.62,-1.73,6.53,0.14,-7.21,1.68,-3.83,44446
-4.67,1.43,-19.03,-0.43,5.95,-0.97,-10.93,8.21,-7.37,44480
-4.84,0.69,-12.71,0.49,3.09,-0.48,-11.75,13.69,-9.43,44514
-5.22,6.06,-2.76,1.43,0.53,0.68,-10.14,19.80,-10.10,44548
-7.88,10.44,1.01,1.89,0.06,1.40,-6.93,23.15,-10.68,44583
-10.12,6.78,4.19,1.59,-2.05,1.58,-3.24,26.32,-10.54,44617
-6.13,12.57,7.85,2.59,-4.98,4.42,5.63,28.08,-11.47,44651
-9.89,18.09,7.34,2.65,-7.84,5.82,15.07,26.38,-15.58,44685
-10.59,26.44,10.37,1.64,-8.73,5.51,23.68,20.10,-20.56,44719
-17.14,17.47,1.36,-0.86,-5.09,0.07,26.97,14.03,-24.09,44753
2.48,5.04,-13.67,-1.58,-2.59,-1.08,26.73,11.58,-23.93,44788
-0.81,7.87,-2.29,-1.34,-0.76,-0.36,26.22,7.54,-22.01,44822
7.14,7.03,-5.87,-2.40,0.61,-2.01,25.05,5.07,-19.15,44856
8.18,11.66,-8.76,-2.44,2.16,-1.46,23.44,2.44,-15.16,44890
9.34,11.67,-9.07,-2.78,2.72,-1.01,19.73,-1.30,-11.17,44924
8.58,13.09,-14.22,-2.89,3.68,-0.31,15.81,-3.74,-9.03,44958
0.46,11.31,-20.64,-2.85,6.25,0.23,10.06,-3.73,-6.99,44993
-0.60,-0.74,-29.33,-2.31,8.60,-1.73,4.14,-0.01,-6.17,45027
-4.49,-0.29,-21.55,-0.49,6.11,-1.10,-0.39,3.23,-5.55,45061
-3.63,7.93,-5.70,1.21,1.96,0.32,-4.06,7.69,-5.96,45095
-1.85,9.39,1.87,1.59,0.68,1.03,-5.93,11.98,-6.99,45129
-5.05,8.87,2.63,1.51,-0.55,1.75,-5.99,16.14,-7.00,45164
-0.03,10.61,5.37,1.86,-3.82,3.82,-1.62,20.34,-9.91,45198
-3.06,20.71,10.89,2.59,-9.34,6.00,5.36,22.33,-13.12,45232
-3.79,26.02,10.34,1.85,-8.14,4.43,12.35,21.50,-19.19,45266
1.34,13.10,10.58,-0.57,-5.94,0.07,14.31,20.08,-21.97,45300
-12.04,13.18,2.04,-0.76,-3.65,0.52,15.21,18.55,-24.58,45334
-8.96,4.59,-4.90,-2.17,-1.75,-1.42,14.81,17.79,-25.56,45369
-2.48,5.15,-10.62,-1.50,0.01,-1.50,14.60,17.92,-25.15,45403
1.58,6.66,-10.60,-2.16,1.16,-1.91,14.28,18.72,-23.95,45437
9.04,13.01,-4.31,-2.06,2.04,-0.61,15.19,18.81,-20.58,45471
6.19,13.89,-3.75,-2.16,3.90,-0.13,15.99,18.04,-17.10,45505
3.37,11.31,-11.04,-1.95,4.81,0.03,16.33,17.22,-12.15,45540
1.84,5.11,-21.71,-1.37,5.91,-0.51,15.39,17.04,-8.64,45574
3.63,4.20,-12.33,-0.49,5.53,-0.31,13.14,16.94,-4.49,45608
-2.10,2.65,-9.32,0.08,3.28,-0.53,10.55,17.92,-3.48,45642
-11.11,3.63,-8.34,0.92,1.31,-0.26,8.71,17.98,-3.10,45676
-8.23,8.45,-3.44,1.47,-0.15,0.46,7.51,18.40,-4.75,45710
-8.66,9.91,2.78,1.81,-1.94,1.60,8.87,18.09,-7.19,45745
-6.46,7.03,-1.66,2.40,-5.13,2.74,10.68,17.25,-11.05,45779
-7.90,10.89,3.28,2.97,-8.05,5.55,13.33,14.95,-17.54,45813
-6.88,23.73,10.11,2.36,-8.09,4.65,14.09,12.23,-22.42,45847
-1.47,28.17,17.51,-1.15,-3.84,0.87,13.46,10.70,-23.97,45881
-1.06,11.76,-0.25,-3.17,-1.53,-2.03,11.12,11.01,-20.49,45916
0.49,8.99,-18.44,-3.31,1.93,-1.14,9.44,11.18,-16.66,45950
7.74,7.37,-7.56,-2.79,2.15,-0.54,7.86,10.93,-11.75,45984
7.09,6.33,-13.70,-3.30,4.97,-1.13,3.74,10.01,-7.57,46018
12.70,8.67,-21.62,-3.28,6.96,-1.12,-1.72,10.13,-5.32,46052
4.85,3.32,-32.63,-2.67,8.39,-1.80,-12.16,11.74,-5.57,46086
1.75,2.47,-24.16,-1.47,6.89,-1.36,-19.88,14.44,-9.62,46121
-12.06,4.08,-13.91,0.16,3.37,-0.23,-25.26,18.80,-14.92,46155
-4.53,0.87,-6.57,0.66,1.94,-0.08,-28.76,25.34,-20.39,46189
-7.70,5.94,-5.23,1.68,0.35,0.89,-29.67,30.68,-24.23,46223
-3.13,6.11,0.59,2.47,-0.86,1.34,-30.44,36.71,-29.61,46257
0.60,12.49,9.34,3.34,-2.91,2.73,-28.30,41.70,-35.31,46291
-4.08,17.40,4.17,3.34,-4.68,4.82,-24.71,47.75,-40.25,46326
-5.36,24.05,3.57,3.23,-7.22,6.92,-18.11,54.19,-43.79,46360
10.27,22.83,2.46,2.15,-9.86,6.06,-11.98,58.62,-45.63,46394
