ax,ay,az,gx,gy,gz,mx,my,mz,timestamp
-7.69,6.23,-4.72,0.66,-1.10,-0.64,5.73,33.06,-14.50,61208
-1.57,28.68,-18.92,-2.59,-0.30,-5.24,-0.19,33.56,-13.36,61341
-2.46,3.44,-6.59,-3.87,9.78,0.36,-20.67,26.34,0.99,61475
-16.70,16.84,-9.31,2.34,-1.41,1.09,-13.45,29.39,2.10,61609
-0.50,8.41,-5.98,0.01,-0.21,0.90,-5.13,26.75,7.60,61743
-3.16,4.54,-7.86,-0.22,-0.32,0.61,4.69,19.39,13.56,61876
-7.44,5.33,-7.45,0.03,-0.98,-0.20,8.33,12.19,16.28,62010
1.02,10.23,-7.14,-0.81,0.14,0.67,12.28,8.40,17.26,62144
10.57,4.60,-23.40,-4.56,11.56,-4.50,-19.89,-11.85,17.39,62278
-5.13,5.20,-5.24,1.20,-1.19,-0.53,-36.54,-21.31,8.86,62412
-3.19,10.23,-3.18,-2.05,1.54,-0.25,-45.00,-19.63,5.32,62545
-1.88,4.60,-13.58,-2.64,4.92,-1.57,-52.06,-17.83,-24.22,62679
-7.25,8.54,-3.59,0.45,1.61,-0.23,-42.01,-16.28,-43.44,62813
-1.98,8.80,-3.65,0.16,-0.74,0.58,-42.30,-13.87,-36.04,62947
-3.77,6.74,-4.94,-0.35,-0.29,-0.89,-44.34,-13.45,-27.78,63081
3.93,10.99,-5.61,-1.51,1.81,-0.71,-46.77,-14.10,-29.22,63214
-2.56,7.27,-15.18,-2.83,5.57,-1.19,-39.02,-5.90,-50.79,63348
-11.01,3.32,-7.57,-0.49,2.42,-0.25,-13.17,9.40,-66.94,63482
-7.52,6.73,-3.04,-0.05,-0.02,-0.61,-8.80,13.68,-67.11,63616
-2.25,8.92,-4.90,0.87,-0.27,0.14,-10.84,13.08,-67.44,63750
-2.37,9.61,-3.38,-0.06,-0.14,0.07,-11.56,13.24,-67.48,63883
9.55,10.18,-11.86,-2.70,6.94,-2.28,6.83,23.17,-60.89,64017
-2.35,6.06,-4.62,-0.05,0.61,-0.90,24.19,35.34,-43.42,64151
-5.97,5.79,-7.38,0.82,-0.87,0.05,26.26,32.51,-46.24,64285
-3.55,9.11,-2.52,0.14,-1.09,-0.54,20.74,28.19,-55.07,64418
-2.60,9.25,-6.53,-0.83,1.69,1.29,25.46,27.61,-49.33,64552
-0.38,6.18,-12.73,-2.37,6.14,-2.59,33.40,33.92,-13.18,64686
0.51,11.56,-2.99,-1.37,0.87,-0.88,20.78,35.84,4.74,64820
-7.59,3.45,-7.85,-1.58,3.48,-1.52,5.79,25.46,20.39,64954
-1.75,10.42,-3.26,1.41,-0.45,0.14,5.69,26.37,19.83,65087
-12.74,0.85,-3.20,4.04,-6.14,6.96,32.04,19.26,2.63,65221
-7.71,3.76,-10.14,-2.09,-0.09,-1.16,39.52,5.41,-16.35,65355
-2.66,8.25,-2.54,-0.31,-0.20,-1.07,35.82,11.52,-14.59,65489
-2.04,9.83,-1.88,0.04,-0.10,-0.22,33.95,12.66,-16.50,65623
-2.34,9.65,-3.58,0.23,-0.20,0.35,32.67,11.17,-18.39,65756
-3.65,7.56,-2.73,0.26,-0.28,0.57,31.13,7.22,-20.26,65890
-4.57,7.73,-2.18,0.67,-1.05,0.61,28.88,4.21,-25.11,66024
-6.93,9.93,-0.23,1.34,-2.22,2.85,25.30,-2.84,-34.01,66158
-9.15,5.35,-7.63,0.12,-1.07,-1.13,13.11,-11.15,-47.06,66291
0.82,10.98,-3.33,-0.12,-0.29,0.75,8.99,-7.50,-50.25,66425
-4.31,7.24,-1.35,-0.17,-0.46,-0.37,5.48,-5.89,-53.32,66559
-2.83,8.46,-5.18,-0.79,1.05,-0.64,7.59,0.88,-51.49,66693
-4.41,9.24,-0.40,0.43,-0.78,2.00,11.43,2.78,-49.84,66827
-6.43,8.77,-4.55,0.79,-1.87,0.59,-2.56,-5.17,-54.06,66960
-5.21,8.14,-3.82,-0.20,-0.92,-0.59,-9.46,-4.34,-53.38,67094
-5.54,8.41,-2.72,-0.11,-0.06,-0.70,-11.71,-2.85,-53.24,67228
-2.14,9.90,-2.96,-0.54,0.58,-1.33,-11.30,-1.91,-52.37,67362
-1.99,10.82,-2.58,-1.81,1.75,-1.06,-6.21,5.77,-50.94,67496
-9.14,0.54,-13.34,-2.21,3.83,-0.84,6.71,18.85,-39.81,67629
-6.02,4.57,-7.41,-0.14,-0.09,-1.99,8.16,24.80,-31.98,67763
-8.20,8.59,-4.20,0.97,-0.74,0.20,3.20,26.13,-33.88,67897
1.95,-1.65,-19.33,5.03,-6.40,5.95,5.74,12.48,-47.85,68031
2.23,17.53,11.99,0.55,-1.41,-0.29,-28.25,-7.40,-51.17,68165
-7.41,9.49,2.97,-0.54,-0.61,-1.03,-34.16,-13.59,-48.28,68298
-10.40,7.24,-7.90,0.64,-0.92,0.48,-35.18,-21.02,-41.71,68432
34.80,12.27,39.20,-18.13,3.38,2.32,-17.76,-20.68,-50.83,68566
39.16,-14.37,-39.16,5.89,5.73,15.59,22.04,-14.69,-43.20,68700
-8.26,11.40,3.41,-0.61,-0.31,3.79,7.82,-11.96,-52.69,68833
-4.03,6.54,-5.21,-0.38,-1.89,-1.21,-7.88,-1.49,-59.03,68967
-3.92,8.83,-2.20,-1.08,-0.03,-0.85,-11.94,5.42,-58.89,69101
0.47,10.25,-3.42,-2.28,1.73,-1.11,-8.61,20.86,-57.26,69235
-5.16,9.25,0.39,0.61,-0.18,-0.48,-2.89,36.26,-48.33,69369
-8.92,0.84,-20.81,4.33,-3.25,2.20,11.62,28.02,-57.15,69502
6.67,39.16,34.36,1.20,-1.61,5.34,-31.42,-2.73,-67.14,69636
