ax,ay,az,gx,gy,gz,mx,my,mz,timestamp
-8.18,7.57,-5.34,-0.71,1.83,-0.63,-29.39,-15.24,-46.89,129074
-2.25,10.34,-4.25,-1.02,1.74,-0.32,-28.00,-15.10,-48.36,129108
-5.46,9.21,-6.63,-1.06,1.49,-0.15,-26.94,-14.54,-49.50,129142
-3.36,7.37,-7.45,-1.08,1.16,-0.41,-26.32,-14.29,-51.21,129176
-3.88,7.31,-5.49,-1.24,1.67,-0.85,-24.73,-14.22,-53.04,129210
-3.66,9.30,0.11,-1.92,2.70,-1.78,-21.70,-13.58,-55.06,129245
0.96,13.64,-1.70,-2.12,3.26,-1.79,-18.37,-12.91,-56.45,129279
2.57,14.76,-7.12,-2.82,3.79,-1.61,-14.57,-10.86,-60.01,129313
3.80,12.07,-11.75,-3.37,4.43,-1.65,-8.74,-8.20,-60.90,129347
-0.86,7.51,-16.44,-4.30,6.04,-2.32,-2.09,-3.84,-61.97,129381
-4.78,3.23,-17.93,-4.21,6.75,-2.13,6.90,1.96,-58.77,129416
-5.22,6.92,-11.67,-3.39,5.72,-1.16,13.71,6.28,-54.28,129450
-2.30,11.00,-9.71,-1.73,4.59,-0.39,18.91,8.40,-48.80,129484
1.52,8.66,-7.56,-1.65,3.87,0.42,23.52,9.60,-44.62,129518
-4.85,9.39,-10.18,-1.80,4.71,0.46,27.27,9.95,-38.19,129552
-7.22,1.47,-12.39,-1.60,3.74,0.08,29.82,10.55,-29.99,129586
-7.59,0.07,-8.64,-0.69,2.00,0.41,30.96,9.91,-26.83,129621
-3.32,8.89,-6.24,0.01,1.11,0.78,31.72,8.67,-23.85,129655
-2.02,9.74,-2.78,-0.16,0.95,0.53,32.23,8.02,-22.07,129689
-4.10,5.67,-4.09,-0.47,0.92,0.49,31.86,7.34,-19.89,129723
-9.65,5.16,-8.21,-0.18,0.59,0.38,32.51,6.31,-18.82,129757
-8.11,8.92,-6.55,0.35,-0.09,0.15,33.03,6.43,-18.28,129791
-11.11,11.06,-0.24,-0.12,0.41,-0.72,32.20,6.39,-17.35,129826
-4.39,10.64,-0.67,-0.79,0.88,-1.91,30.59,8.42,-16.53,129860
0.05,8.75,-4.54,-0.87,1.08,-1.78,28.85,10.03,-14.43,129894
-1.72,7.16,-4.06,-0.85,1.43,-1.46,27.30,11.30,-12.39,129928
-2.16,10.98,-1.51,-1.39,1.95,-1.78,25.18,12.07,-9.05,129962
-3.75,7.44,-2.71,-1.91,2.50,-2.19,22.70,13.11,-5.25,129997
-6.75,3.46,-5.08,-1.61,2.47,-2.05,19.22,13.81,-2.70,130031
-6.93,6.62,-5.00,-1.33,2.09,-1.72,15.67,13.96,-0.18,130065
-8.13,7.63,-3.52,-1.29,1.89,-1.68,12.39,13.20,2.79,130099
0.19,10.89,-6.78,-1.86,2.35,-1.74,8.89,12.82,4.38,130133
-3.05,4.89,-9.97,-2.54,3.82,-1.25,5.13,9.98,11.08,130167
3.00,10.80,-6.49,-1.97,2.90,-0.25,0.57,8.62,9.69,130202
-6.03,10.13,-1.54,-0.95,2.41,0.50,-2.78,7.32,10.03,130236
-6.45,5.79,-4.53,-0.15,0.89,1.54,-3.20,7.12,9.44,130270
-11.65,3.20,-4.21,-0.20,0.34,0.89,-4.06,6.72,9.34,130304
-5.73,5.07,-2.96,-0.11,-0.16,0.36,-3.33,7.22,8.96,130338
-5.32,7.06,-1.44,-0.49,0.42,0.04,-3.99,6.85,9.15,130373
-2.95,10.66,-2.68,-0.79,1.14,-0.45,-5.41,6.24,9.84,130407
-2.29,7.71,-2.61,-1.18,1.81,-0.40,-8.30,5.26,9.62,130441
-2.05,8.88,-3.71,-1.23,1.97,0.12,-10.27,4.03,10.04,130475
8.03,16.05,-6.48,-1.30,3.36,0.07,-13.43,3.65,8.45,130509
1.72,8.69,-7.99,-2.63,4.33,-0.80,-18.61,0.89,6.93,130543
0.76,6.37,-5.53,-2.11,4.04,0.03,-22.86,-1.52,3.93,130578
-5.50,10.16,-5.38,-0.56,2.08,0.84,-25.34,-0.79,2.13,130612
-6.58,8.29,-6.32,-0.67,1.85,0.28,-26.94,0.28,0.61,130646
-13.92,5.42,-9.46,-0.21,1.23,0.13,-27.42,0.86,-0.72,130680
-12.38,6.63,-3.91,-0.31,1.08,-0.66,-28.71,0.51,-2.21,130714
-6.53,14.72,0.42,0.17,0.44,-1.58,-28.91,-0.41,-2.32,130749
-0.90,8.68,0.13,-0.70,0.78,-1.97,-31.00,-2.65,-3.43,130783
3.48,9.39,-0.30,-0.86,1.23,-1.03,-31.53,-3.84,-4.34,130817
3.62,14.26,0.37,-1.21,1.81,-0.93,-32.68,-5.17,-5.92,130851
3.34,15.73,-6.63,-2.52,3.27,-2.08,-35.05,-7.38,-9.37,130885
2.74,12.69,-13.05,-2.95,3.62,-2.53,-36.31,-10.23,-13.23,130919
4.74,10.63,-14.03,-3.69,4.19,-2.27,-37.01,-14.44,-18.74,130954
1.29,15.04,-13.81,-4.33,5.43,-1.72,-37.12,-16.27,-25.62,130988
6.27,9.58,-17.26,-6.03,6.89,-2.27,-35.78,-17.49,-34.51,131022
-2.33,2.16,-16.70,-4.56,7.27,-0.83,-30.84,-16.37,-44.40,131056
12.61,12.81,-11.22,-2.81,5.73,0.72,-26.44,-14.31,-50.19,131090
-7.49,2.23,-13.46,-2.93,5.28,0.18,-20.77,-13.11,-54.06,131125
7.17,1.80,-10.14,-1.56,3.36,1.35,-15.45,-11.21,-57.07,131159
-14.38,2.69,-11.49,-1.46,4.18,0.56,-10.42,-9.98,-58.89,131193
-12.44,7.14,-8.32,-0.42,2.48,-0.10,-5.63,-9.35,-60.07,131227
-3.34,8.32,0.20,-0.59,1.95,-0.26,-2.94,-9.31,-60.26,131261
-4.20,10.93,-7.76,-0.81,2.38,0.03,0.22,-8.81,-60.39,131295
-9.26,2.85,-8.23,-0.51,1.23,-0.08,3.52,-8.56,-60.01,131330
-6.24,8.90,-4.53,0.08,0.32,0.03,4.34,-8.33,-60.26,131364
-3.72,9.50,-3.70,-0.13,0.64,-0.28,5.31,-8.48,-60.32,131398
-5.74,8.80,-2.27,-0.83,1.68,-1.22,7.15,-7.63,-60.22,131432
-3.82,7.88,-3.07,-1.11,1.93,-1.40,9.94,-5.77,-59.81,131466
-2.78,6.96,-5.08,-0.99,1.80,-1.12,11.96,-4.03,-58.39,131500
-2.31,7.23,-4.83,-0.71,1.42,-0.65,13.53,-3.00,-58.10,131535
1.56,8.43,-3.23,-0.21,0.55,0.44,14.66,-2.34,-57.69,131569
-0.25,12.27,-2.17,-0.50,1.30,-0.04,16.47,-2.31,-56.93,131603
-2.94,8.99,-1.96,-1.20,1.94,-0.81,18.40,-1.01,-55.13,131637
-2.65,9.86,-3.87,-1.45,2.58,-1.23,21.78,1.56,-51.36,131671
