ax,ay,az,gx,gy,gz,mx,my,mz,timestamp
9.16,0.49,0.17,-4.38,-0.85,1.63,-11.31,-8.87,-59.08,83292251
13.16,0.20,-3.78,-4.33,-1.08,2.04,-12.47,-3.68,-58.45,83292286
12.80,-0.69,-2.73,-5.09,-1.28,2.42,-12.93,2.50,-55.96,83292320
12.38,1.84,-3.54,-5.62,-1.46,2.32,-13.52,10.57,-51.75,83292354
10.11,2.11,1.71,-5.94,-1.43,2.02,-12.82,16.24,-46.26,83292388
11.72,-2.27,0.88,-6.36,-1.47,2.51,-11.50,20.99,-37.72,83292422
12.55,-2.38,1.51,-5.42,-1.25,2.32,-9.28,24.07,-31.25,83292457
11.25,3.47,2.34,-4.38,-1.13,2.18,-6.46,25.75,-25.88,83292491
-0.04,-6.09,0.18,-4.39,-1.07,3.11,-1.90,25.86,-19.19,83292525
17.63,-10.08,-2.86,-2.93,-1.45,3.88,2.95,24.83,-15.24,83292559
10.02,3.65,3.07,-3.94,-1.07,4.06,8.92,22.77,-10.73,83292593
9.34,4.92,6.17,-3.53,-0.71,3.64,14.64,18.72,-6.49,83292627
7.92,11.15,-2.47,-2.21,-0.40,2.46,17.98,15.32,-4.52,83292662
7.37,9.35,-9.67,-3.10,-0.64,1.51,20.96,11.66,-2.27,83292696
6.25,7.22,-8.70,-4.41,-1.27,0.87,22.23,8.10,0.04,83292730
8.43,5.53,-3.84,-6.33,-2.23,1.40,24.29,2.31,1.46,83292764
16.60,-0.80,-1.42,-6.28,-2.36,1.67,27.00,-5.57,2.09,83292798
16.26,0.43,-2.19,-4.55,-1.83,2.20,29.14,-11.18,0.57,83292833
14.75,4.33,2.10,-3.98,-1.37,2.60,29.66,-17.76,-1.74,83292867
7.49,-9.97,1.70,-3.94,-0.57,2.67,29.13,-23.11,-4.82,83292901
6.77,-16.75,-0.67,-3.54,-0.19,3.62,28.24,-26.67,-6.37,83292935
12.90,-4.60,-4.97,-3.09,-0.48,3.83,25.96,-31.58,-8.58,83292969
5.81,8.00,-0.00,-3.00,-0.30,2.69,23.84,-35.00,-11.02,83293003
8.42,8.93,-4.82,-2.50,-0.25,1.97,22.32,-37.66,-14.86,83293038
7.23,7.19,-5.92,-3.20,-0.63,1.35,21.57,-38.92,-18.68,83293072
10.77,2.67,-5.47,-4.46,-1.19,1.22,20.26,-40.37,-22.42,83293106
13.25,-3.38,-0.91,-4.55,-1.33,1.68,18.24,-41.06,-29.25,83293140
13.22,-1.22,-0.91,-3.75,-1.06,2.55,16.02,-41.61,-33.62,83293174
8.83,4.33,-2.99,-4.58,-1.11,2.36,12.80,-40.78,-39.23,83293208
8.75,3.32,-2.46,-4.72,-1.22,2.12,9.92,-38.86,-44.83,83293243
8.40,4.28,-3.16,-3.84,-1.14,1.38,7.51,-36.45,-48.86,83293277
10.63,1.48,-3.65,-3.87,-1.22,1.31,5.35,-32.81,-51.68,83293311
10.50,-2.07,-1.28,-3.76,-1.19,1.26,2.98,-29.52,-55.12,83293345
10.05,0.42,-1.04,-3.64,-1.20,1.81,1.05,-25.48,-56.43,83293379
10.82,-0.44,-0.80,-3.49,-1.14,2.21,-1.70,-21.70,-58.26,83293414
8.88,1.90,-3.94,-3.53,-1.08,2.45,-3.95,-18.23,-59.37,83293448
9.16,0.33,-1.19,-3.47,-1.08,2.48,-6.15,-13.17,-58.93,83293482
9.80,2.45,-1.19,-2.99,-1.00,2.22,-7.35,-8.83,-59.18,83293516
7.18,3.71,1.39,-2.69,-0.97,1.95,-8.78,-4.74,-58.48,83293550
8.96,-0.60,-4.10,-2.84,-1.10,2.54,-9.34,-1.11,-57.60,83293584
10.19,5.09,-3.82,-3.28,-1.19,2.45,-9.89,3.58,-56.46,83293619
9.30,-0.65,-2.21,-4.09,-1.24,2.23,-10.06,9.05,-53.60,83293653
9.75,2.92,-0.49,-3.58,-1.20,2.28,-9.68,13.21,-50.32,83293687
11.23,1.22,-2.00,-4.06,-1.31,2.96,-8.23,16.71,-45.43,83293721
8.68,3.90,-3.79,-4.37,-1.16,2.27,-5.98,20.93,-40.82,83293755
9.20,4.22,-2.25,-4.08,-1.18,2.21,-4.62,23.37,-35.87,83293790
11.41,0.71,-5.88,-4.98,-1.27,2.82,-1.48,25.34,-29.11,83293824
10.74,0.14,-4.25,-4.02,-1.07,1.99,1.93,25.68,-23.66,83293858
10.60,4.08,-0.91,-3.80,-1.14,2.09,4.40,25.59,-18.39,83293892
11.86,0.69,-2.29,-4.61,-1.22,3.04,8.71,23.71,-13.26,83293926
11.09,10.09,-2.77,-4.43,-1.20,1.69,12.19,20.77,-9.73,83293960
5.70,13.59,-6.11,-4.69,-1.28,0.15,13.93,17.63,-3.83,83293995
-5.54,17.97,-1.56,-6.77,-2.07,-1.16,14.92,13.43,1.05,83294029
-1.55,2.93,0.07,-7.54,-2.66,-0.81,16.38,8.04,5.55,83294063
2.15,-3.02,0.98,-4.64,-2.50,-1.37,18.25,3.17,6.74,83294097
2.79,2.61,-8.01,-3.96,-2.16,-2.14,19.18,0.89,6.31,83294131
8.49,3.07,-15.90,-1.92,-1.94,-2.54,20.39,-0.18,6.62,83294166
3.28,9.67,-17.99,-0.28,-0.00,-2.32,19.38,0.92,6.46,83294200
4.11,15.75,-4.94,-1.16,0.22,-1.80,18.74,2.13,7.79,83294234
7.00,10.66,-1.32,-1.49,-0.27,-1.03,17.58,0.51,8.30,83294268
8.94,13.45,0.69,-1.87,-0.39,-0.16,18.18,-1.13,9.46,83294302
4.44,13.15,2.94,-2.22,-0.65,0.62,18.88,-4.30,9.00,83294336
3.47,6.79,0.96,-2.68,-1.40,1.24,20.37,-8.11,8.64,83294371
4.40,12.85,1.96,-1.79,-1.38,1.35,21.89,-10.26,7.47,83294405
4.20,5.34,1.69,-2.48,-1.52,2.77,23.82,-15.38,7.09,83294439
2.82,5.07,1.11,-2.54,-1.79,2.64,24.70,-19.95,4.57,83294473
3.69,5.38,1.34,-2.12,-2.19,2.31,25.69,-24.89,1.62,83294507
6.07,2.91,0.58,-2.75,-2.33,2.63,25.78,-28.97,-3.03,83294541
5.74,3.71,1.28,-1.99,-1.77,2.22,25.50,-32.21,-5.73,83294576
5.75,3.84,1.45,-1.20,-1.32,1.97,24.44,-35.85,-7.63,83294610
8.94,3.84,0.45,-0.67,-0.72,1.59,23.24,-37.28,-9.81,83294644
9.77,4.16,0.19,-0.32,-0.39,1.11,22.20,-38.61,-10.20,83294678
10.67,4.83,0.75,-0.72,-0.63,0.97,21.54,-39.74,-11.60,83294712
12.32,2.37,1.55,-1.18,-0.74,1.14,20.42,-41.01,-12.64,83294747
10.87,3.93,2.51,-0.70,-0.60,1.28,19.35,-42.01,-14.69,83294781
9.87,6.24,3.21,-0.29,-0.47,1.36,17.85,-43.53,-15.64,83294815
7.45,11.07,1.99,0.06,-0.64,0.19,16.91,-43.79,-16.16,83294849
5.63,8.97,-6.58,1.19,-0.82,-1.24,17.86,-43.36,-15.51,83294883
3.48,11.75,-10.07,-1.66,-1.50,-0.95,19.35,-42.68,-17.33,83294917
4.59,4.90,-7.94,-4.15,-2.55,-0.92,21.34,-42.63,-23.41,83294952
10.93,-3.55,-9.91,-3.42,-2.76,-0.95,21.79,-41.96,-29.58,83294986
21.77,-8.71,28.82,-5.59,-0.94,1.45,21.15,-40.46,-35.69,83295020
17.41,-12.55,5.48,-0.26,-0.32,-0.35,21.46,-39.67,-37.24,83295054
13.76,-6.14,-2.40,0.28,-0.13,0.34,21.27,-40.32,-36.03,83295088
