ax,ay,az,gx,gy,gz,mx,my,mz,timestamp
-18.26,0.37,-29.27,0.80,0.72,4.47,34.01,15.55,-9.92,42867
-16.46,0.83,-19.30,5.29,-4.01,3.61,37.33,10.45,-18.15,42901
-22.32,3.93,-9.11,6.52,-4.28,1.69,37.93,7.02,-26.94,42935
-11.77,9.16,-4.19,4.68,-2.58,-1.68,36.04,4.90,-35.06,42969
-23.85,2.81,-5.50,1.48,1.30,-5.58,33.51,9.32,-35.21,43003
-9.32,20.35,6.34,-0.70,1.65,-6.95,30.49,16.25,-32.59,43038
-12.03,9.02,1.69,-2.96,3.59,-7.80,23.19,26.29,-26.54,43072
-8.23,-3.19,5.86,-2.96,2.53,-6.25,15.97,31.67,-20.87,43106
-6.64,-0.49,8.01,-3.26,2.32,-5.15,8.43,34.87,-14.56,43140
-16.68,9.24,8.43,-5.00,4.00,-4.74,1.24,34.51,-7.89,43174
-13.90,4.18,1.77,-5.55,4.10,-4.68,-6.62,32.71,-1.62,43208
-7.69,10.04,0.42,-5.59,4.06,-4.28,-15.76,27.10,4.28,43243
-6.87,16.82,2.60,-5.54,3.92,-3.93,-22.01,21.09,6.68,43277
-6.57,10.90,1.38,-5.68,4.07,-3.83,-29.28,12.58,7.60,43311
-5.47,10.86,-2.66,-6.26,4.82,-4.04,-34.70,4.53,4.90,43345
-1.64,9.76,-7.88,-5.96,4.41,-3.97,-38.09,-3.67,1.01,43379
-2.30,3.93,-10.03,-5.54,4.05,-4.01,-40.16,-12.36,-6.42,43414
-4.87,7.83,-6.30,-4.69,2.92,-3.49,-40.09,-18.55,-11.59,43448
-6.79,0.46,-5.76,-4.80,3.13,-3.39,-38.79,-22.77,-21.46,43482
-5.01,5.58,-6.50,-4.73,2.90,-3.32,-36.06,-26.89,-25.83,43516
-6.78,2.06,-6.81,-5.25,3.69,-3.58,-32.70,-28.43,-32.62,43550
-4.34,4.20,-10.14,-5.24,3.65,-3.70,-26.95,-28.18,-40.21,43584
-6.82,0.70,-9.60,-4.85,3.21,-3.38,-21.57,-26.85,-47.40,43619
-6.14,5.10,-5.46,-4.47,2.64,-2.76,-18.02,-24.07,-50.70,43653
-3.82,7.17,-5.48,-4.81,3.01,-2.66,-12.17,-19.04,-55.66,43687
-6.44,5.29,-11.06,-4.92,3.06,-2.47,-7.75,-13.39,-58.55,43721
-6.28,1.92,-11.37,-4.59,2.59,-2.10,-2.32,-5.89,-59.60,43755
-7.32,2.28,-9.86,-4.52,2.56,-1.64,1.49,1.02,-58.89,43790
-11.11,-4.41,-5.97,-4.47,3.13,-2.65,4.44,7.66,-57.56,43824
-8.72,-0.95,-5.71,-4.47,3.25,-2.72,6.94,15.67,-52.66,43858
-10.44,-0.51,-6.43,-4.37,3.48,-2.74,9.00,20.17,-47.71,43892
-10.76,-1.08,-4.93,-4.15,3.35,-2.77,9.98,24.99,-41.76,43926
-8.26,0.71,-4.71,-4.45,3.43,-2.68,9.62,30.30,-33.89,43960
-9.39,-0.76,-6.82,-5.10,4.28,-2.88,7.94,33.67,-26.41,43995
-6.37,1.37,-8.78,-4.60,3.79,-2.81,5.13,35.81,-17.38,44029
-10.02,1.43,-5.24,-4.38,3.98,-3.11,0.73,35.78,-10.32,44063
-7.85,3.03,-4.40,-4.33,3.73,-2.73,-4.28,34.79,-5.35,44097
-4.39,6.05,-9.91,-4.53,4.15,-3.04,-10.51,32.08,1.71,44131
-11.41,0.89,-2.37,-4.36,4.12,-2.62,-16.33,28.40,4.36,44166
-11.00,1.71,-6.09,-3.28,3.14,-2.39,-20.48,23.65,6.81,44200
-8.00,2.01,-4.42,-3.30,3.48,-2.40,-26.51,19.89,6.45,44234
-4.99,4.52,-6.92,-2.71,2.73,-2.51,-30.58,16.49,6.05,44268
-7.01,4.14,-7.42,-2.79,2.91,-2.91,-35.00,10.45,4.25,44302
-7.63,2.82,-5.69,-2.78,2.86,-3.02,-38.19,5.58,1.68,44336
-4.55,5.91,-7.45,-3.27,3.55,-3.38,-40.97,0.83,-1.99,44371
