ax,ay,az,gx,gy,gz,mx,my,mz,timestamp
-9.06,4.12,-2.94,-4.29,3.77,-4.32,16.82,2.65,-53.48,45772
-6.37,7.68,-1.87,-3.54,2.96,-3.79,18.61,9.30,-45.78,45806
-8.22,8.46,-4.60,-2.94,2.48,-3.19,19.31,15.05,-45.31,45840
-6.96,7.45,-4.92,-3.07,2.23,-2.69,19.34,19.64,-40.78,45875
-7.50,4.26,-6.87,-3.23,2.25,-2.26,18.81,24.74,-35.15,45909
-8.39,1.88,-6.32,-3.00,2.14,-2.09,17.73,27.92,-30.36,45943
-6.57,2.09,-5.93,-2.52,1.73,-1.89,16.63,30.08,-25.52,45977
-6.93,2.40,-8.33,-2.92,2.28,-2.24,14.18,32.37,-20.24,46011
-7.66,2.01,-4.19,-3.68,2.85,-2.65,11.08,33.54,-14.28,46045
-9.18,0.66,-7.35,-4.67,4.14,-3.49,6.49,34.16,-4.98,46080
-10.84,-3.18,-5.29,-4.65,4.22,-3.73,-1.33,32.70,1.96,46114
-11.54,-1.78,-6.05,-4.27,3.86,-3.97,-8.49,30.21,5.85,46148
-9.99,1.05,-2.82,-4.49,4.34,-4.25,-17.23,24.60,8.33,46182
-7.17,5.21,-3.26,-4.04,3.75,-4.19,-23.93,18.69,9.70,46216
-7.82,5.99,-2.66,-3.91,3.46,-3.80,-29.87,12.69,9.76,46250
-8.38,5.34,-1.27,-3.84,3.46,-3.46,-35.21,4.93,6.45,46285
-7.42,6.47,-2.50,-3.43,3.18,-3.06,-38.64,-1.05,4.14,46319
-3.39,7.61,-8.85,-3.05,2.77,-2.66,-40.85,-7.07,-0.69,46353
-6.24,5.24,-8.48,-2.93,2.56,-2.60,-41.80,-11.65,-4.41,46387
-8.48,5.57,-3.33,-3.27,3.05,-2.64,-41.99,-16.72,-9.38,46421
-9.58,3.01,-5.22,-3.66,3.72,-2.76,-41.38,-21.21,-16.63,46456
-7.68,2.64,-7.00,-3.78,3.64,-2.82,-39.89,-23.85,-23.17,46490
