ax,ay,az,gx,gy,gz,mx,my,mz,timestamp
-0.38,-6.51,-11.19,4.19,-6.85,-2.96,-56.68,80.09,59.15,668752
-0.93,-7.57,-10.36,4.20,-7.20,-2.98,-46.14,87.42,59.81,668787
-1.65,-7.48,-10.43,4.32,-7.13,-2.86,-37.47,94.77,57.00,668821
-1.21,-9.73,-11.80,4.31,-7.22,-2.65,-26.48,103.96,48.87,668855
1.21,-5.46,-9.64,4.08,-6.97,-2.22,-19.29,110.52,38.51,668889
0.72,-8.06,-11.38,3.82,-5.99,-2.06,-14.53,115.42,24.57,668923
1.22,-8.72,-12.75,4.05,-6.44,-2.47,-14.81,119.37,5.51,668958
2.25,-6.52,-11.17,4.11,-6.76,-2.91,-21.28,118.46,-11.03,668992
-0.47,-9.09,-10.91,4.33,-7.37,-3.55,-36.06,113.14,-26.47,669026
-0.88,-6.21,-10.41,4.77,-8.24,-4.09,-52.92,104.14,-33.13,669060
-1.65,-5.97,-8.69,4.95,-8.84,-4.09,-70.53,92.58,-31.95,669094
1.32,-8.51,-8.94,4.99,-8.20,-4.04,-86.73,78.37,-22.60,669128
-0.96,-8.21,-10.74,4.45,-7.20,-3.36,-95.38,68.06,-11.37,669163
-1.84,-8.41,-10.39,4.10,-7.05,-3.00,-97.90,60.76,5.28,669197
0.56,-7.93,-9.54,3.79,-6.45,-3.01,-96.46,57.44,18.77,669231
0.74,-5.34,-10.69,4.08,-6.43,-3.11,-93.26,55.36,30.01,669265
0.91,-6.46,-9.63,4.12,-7.27,-3.31,-85.79,55.38,45.64,669299
1.49,-6.39,-8.94,4.01,-7.85,-3.78,-76.41,57.40,57.47,669333
0.77,-2.90,-11.52,4.27,-7.90,-4.06,-65.39,60.38,66.06,669368
-0.97,-6.90,-6.91,4.27,-8.48,-3.90,-49.66,67.19,73.62,669402
1.44,-7.81,-6.42,4.01,-8.14,-4.13,-35.81,74.09,75.84,669436
-1.13,-8.88,-6.70,3.97,-7.84,-4.07,-22.42,85.19,73.18,669470
-0.64,-9.63,-6.80,3.82,-7.27,-3.85,-14.18,94.07,66.79,669504
-1.80,-9.89,-7.21,3.41,-5.89,-3.07,-8.43,101.86,57.61,669539
-3.23,-10.91,-6.10,3.73,-5.47,-2.70,-4.82,111.11,42.28,669573
-2.89,-14.04,-4.42,4.43,-5.57,-2.77,-4.44,118.40,23.57,669607
-5.87,-13.04,-4.83,4.64,-6.20,-2.75,-7.76,121.85,-1.87,669641
-6.57,-14.45,-11.72,4.94,-6.88,-2.93,-16.47,120.42,-24.14,669675
-11.67,-10.77,-20.99,5.02,-6.97,-2.32,-28.72,113.12,-42.69,669709
-4.39,-9.13,-19.46,4.83,-6.99,-2.48,-46.24,99.97,-56.56,669744
0.96,-5.14,-10.02,4.20,-5.73,-1.98,-59.57,89.02,-59.13,669778
0.03,-11.54,-9.65,4.17,-5.57,-1.49,-71.73,78.43,-57.80,669812
3.58,-8.16,-9.43,4.11,-5.75,-1.82,-81.32,70.58,-52.43,669846
1.80,-7.34,-10.40,3.26,-4.43,-1.42,-88.23,63.86,-45.78,669880
0.51,-8.03,-10.23,3.12,-4.34,-1.49,-93.26,59.28,-37.65,669915
2.88,-7.38,-9.50,3.19,-4.52,-1.41,-96.42,57.37,-30.18,669949
1.92,-9.14,-7.96,3.11,-4.28,-1.01,-98.17,57.06,-20.34,669983
5.57,-8.38,-7.69,3.03,-4.32,-1.05,-99.18,58.40,-12.99,670017
2.12,-5.76,-10.51,2.70,-4.20,-1.19,-98.92,59.91,-6.94,670051
2.38,-7.95,-9.85,2.51,-5.07,-1.02,-97.43,62.99,3.57,670085
2.20,-8.29,-9.29,2.58,-4.44,-1.11,-94.71,66.22,10.06,670120
5.23,-5.88,-8.42,2.75,-3.86,-0.80,-91.17,70.89,13.31,670154
3.29,-8.10,-9.21,2.03,-4.29,-0.03,-85.17,78.08,16.56,670188
8.26,-8.74,-7.26,2.19,-2.97,0.11,-80.04,84.61,14.79,670222
5.38,-8.26,-6.26,2.10,-2.79,-0.04,-73.62,89.93,12.25,670256
7.84,-6.17,-6.81,2.43,-2.90,-0.46,-70.48,91.87,6.59,670291
4.59,-6.00,-5.78,3.03,-3.99,-1.01,-68.87,93.42,1.55,670325
2.16,-9.01,-11.76,3.22,-4.97,-1.66,-69.41,91.86,-0.72,670359
3.40,-5.22,-12.89,2.89,-4.70,-2.05,-73.11,89.32,-0.37,670393
3.91,-5.52,-7.12,2.34,-3.63,-1.61,-76.47,87.15,1.24,670427
3.61,-6.07,-5.16,2.16,-2.89,-0.87,-78.05,88.21,2.29,670461
0.00,-11.10,-7.84,1.95,-3.08,-0.36,-77.54,90.51,3.58,670496
2.57,-8.55,-5.11,2.06,-2.92,-0.65,-76.82,94.48,6.11,670530
3.34,-6.84,-4.55,1.97,-2.81,-0.55,-76.56,97.81,7.56,670564
1.25,-10.10,-4.26,2.04,-3.12,-0.40,-74.32,103.05,9.81,670598
3.86,-8.44,-3.40,2.43,-3.80,-0.79,-72.14,107.99,10.63,670632
2.01,-9.05,-5.79,2.22,-3.34,-0.66,-69.80,112.35,10.10,670666
-2.58,-8.74,-4.83,1.82,-2.70,-0.28,-65.68,118.77,8.71,670701
1.82,-9.93,-2.84,2.09,-2.92,-0.15,-60.38,124.51,5.42,670735
1.84,-8.47,-3.57,2.02,-2.69,0.20,-51.86,130.69,-0.72,670769
2.50,-8.12,-5.57,1.56,-2.11,0.27,-43.86,135.41,-6.91,670803
1.75,-10.95,-4.19,1.49,-2.18,0.05,-36.60,137.75,-13.97,670837
3.94,-10.44,-4.55,1.51,-2.32,-0.29,-30.52,138.29,-22.93,670872
2.41,-9.10,-4.77,1.15,-2.13,-0.81,-28.72,136.55,-30.17,670906
4.94,-9.95,-6.43,1.09,-2.36,-1.39,-28.49,134.03,-37.53,670940
2.44,-4.88,-6.15,1.45,-2.68,-2.04,-34.81,128.75,-44.56,670974
0.38,-5.44,-9.50,1.72,-2.64,-1.69,-42.12,123.74,-50.85,671008
-1.55,-12.18,-11.68,2.63,-3.24,-1.28,-49.09,116.90,-60.10,671042
-2.70,-14.03,-14.79,5.05,-5.73,-1.83,-59.37,106.99,-70.27,671077
3.36,-12.57,-19.28,6.94,-8.16,-2.67,-77.14,90.40,-74.77,671111
4.44,-7.42,-18.30,7.20,-8.39,-3.22,-101.04,66.00,-66.37,671145
-6.33,-4.41,-22.28,7.36,-8.73,-3.44,-117.47,48.48,-47.53,671179
5.83,-11.97,-24.56,6.49,-8.39,-2.60,-127.96,38.67,-16.28,671213
8.49,-7.33,-21.89,4.71,-5.74,-1.65,-126.79,41.39,3.23,671248
1.98,-9.09,-13.04,3.80,-3.84,-0.42,-121.53,51.97,14.63,671282
-5.33,-9.40,-17.17,4.78,-5.11,-0.94,-109.69,68.96,23.18,671316
-10.68,-7.36,-21.25,6.33,-6.99,-0.94,-95.05,82.58,25.50,671350
-5.69,-4.83,-26.79,6.63,-7.84,-1.24,-77.76,95.22,19.31,671384
-3.99,-3.90,-29.45,6.05,-7.35,-0.86,-67.85,101.11,10.44,671418
-5.56,-0.00,-25.73,5.68,-7.43,-1.05,-61.85,104.60,3.48,671453
4.18,-2.29,-23.60,5.36,-8.36,-1.39,-57.53,108.27,-3.51,671487
4.45,-1.47,-21.24,4.67,-7.86,-1.60,-57.76,111.40,-6.52,671521
-2.53,-6.73,-25.87,4.74,-8.50,-2.69,-61.53,114.34,-9.89,671555
-3.30,-4.26,-20.65,4.49,-8.40,-2.85,-67.85,116.05,-9.68,671589
-3.68,-8.25,-19.40,5.04,-8.96,-2.99,-73.18,117.36,-10.03,671624
-3.46,-11.29,-19.12,5.71,-9.37,-3.07,-80.66,119.44,-11.85,671658
-5.88,-11.33,-21.43,5.93,-9.39,-2.91,-85.57,117.28,-16.38,671692
-3.92,-9.07,-21.07,5.67,-8.57,-2.87,-94.20,111.11,-19.29,671726
-7.36,-13.57,-22.24,5.86,-8.24,-2.61,-101.32,102.78,-18.88,671760
-7.39,-7.58,-22.66,5.98,-8.39,-2.73,-106.65,95.12,-11.21,671794
-4.87,-10.36,-22.00,5.63,-7.71,-2.03,-107.64,91.57,2.32,671829
-4.52,-9.77,-20.33,5.70,-7.68,-2.18,-102.97,92.91,11.40,671863
-3.24,-9.03,-21.03,5.65,-7.59,-2.21,-90.66,97.21,19.60,671897
-3.40,-9.44,-20.29,5.55,-7.66,-2.15,-81.72,102.02,19.00,671931
-1.54,-7.76,-25.16,4.86,-7.18,-1.89,-71.47,104.49,14.00,671965
